location,date,variant,num_sequences,perc_sequences,num_sequences_total
United States,2020-05-11,Omicron,0,0.0,5804
United States,2020-05-25,Omicron,0,0.0,4736
United States,2020-06-08,Omicron,0,0.0,4035
United States,2020-06-22,Omicron,0,0.0,6070
United States,2020-07-06,Omicron,0,0.0,8371
United States,2020-07-20,Omicron,0,0.0,10122
United States,2020-08-03,Omicron,0,0.0,7801
United States,2020-08-17,Omicron,0,0.0,5992
United States,2020-08-31,Omicron,0,0.0,4888
United States,2020-09-14,Omicron,0,0.0,4362
United States,2020-09-28,Omicron,0,0.0,5077
United States,2020-10-12,Omicron,0,0.0,5764
United States,2020-10-26,Omicron,0,0.0,7535
United States,2020-11-09,Omicron,0,0.0,12540
United States,2020-11-23,Omicron,0,0.0,13561
United States,2020-12-07,Omicron,0,0.0,13266
United States,2020-12-21,Omicron,0,0.0,19936
United States,2021-01-04,Omicron,0,0.0,21204
United States,2021-01-11,Omicron,0,0.0,18451
United States,2021-01-25,Omicron,0,0.0,38293
United States,2021-02-08,Omicron,0,0.0,34853
United States,2021-02-22,Omicron,0,0.0,35919
United States,2021-03-08,Omicron,0,0.0,39935
United States,2021-03-22,Omicron,0,0.0,52615
United States,2021-04-05,Omicron,0,0.0,68922
United States,2021-04-19,Omicron,0,0.0,80542
United States,2021-05-03,Omicron,0,0.0,68541
United States,2021-05-17,Omicron,0,0.0,51424
United States,2021-05-31,Omicron,0,0.0,28913
United States,2021-06-14,Omicron,0,0.0,20283
United States,2021-06-28,Omicron,0,0.0,22291
United States,2021-07-12,Omicron,0,0.0,37254
United States,2021-07-26,Omicron,0,0.0,79713
United States,2021-08-09,Omicron,0,0.0,146170
United States,2021-08-23,Omicron,0,0.0,130754
United States,2021-09-06,Omicron,0,0.0,137159
United States,2021-09-20,Omicron,0,0.0,134718
United States,2021-10-04,Omicron,0,0.0,111660
United States,2021-10-18,Omicron,0,0.0,107920
United States,2021-11-01,Omicron,1,0.0,104883
United States,2021-11-15,Omicron,0,0.0,117419
United States,2021-11-29,Omicron,56,0.06,100281
United States,2021-12-13,Omicron,3770,3.68,102430
United States,2021-12-27,Omicron,24681,50.13,49235
United States,2022-01-05,Omicron,28,80.0,35
